fr,qf,z_out
5.24E+04,1.32E+00,1.59E-01
7.53E+04,1.19E+00,1.60E-01
6.14E+04,1.26E+00,1.64E-01
8.08E+04,1.13E+00,1.68E-01
6.14E+04,1.16E+00,1.85E-01
5.12E+04,1.21E+00,1.78E-01
5.74E+04,1.21E+00,1.67E-01
5.84E+04,1.14E+00,1.77E-01
7.04E+04,1.12E+00,1.82E-01
5.93E+04,1.33E+00,1.65E-01
6.74E+04,1.29E+00,1.49E-01
6.23E+04,1.20E+00,1.75E-01
5.95E+04,1.22E+00,1.70E-01
5.74E+04,1.27E+00,1.57E-01
6.14E+04,1.19E+00,1.64E-01
7.05E+04,1.13E+00,1.74E-01
7.38E+04,1.09E+00,1.80E-01
5.87E+04,1.13E+00,1.88E-01
5.82E+04,1.20E+00,1.76E-01
7.58E+04,1.25E+00,1.47E-01
6.14E+04,1.25E+00,1.58E-01
7.05E+04,1.22E+00,1.54E-01
5.74E+04,1.27E+00,1.69E-01
5.36E+04,1.26E+00,1.63E-01
5.46E+04,1.20E+00,1.79E-01
6.52E+04,1.18E+00,1.74E-01
6.57E+04,1.11E+00,1.86E-01
7.01E+04,1.07E+00,1.86E-01
8.10E+04,1.05E+00,1.92E-01
6.01E+04,1.28E+00,1.53E-01
7.38E+04,1.21E+00,1.54E-01
6.87E+04,1.20E+00,1.68E-01
6.01E+04,1.22E+00,1.65E-01
6.01E+04,1.24E+00,1.70E-01
6.66E+04,1.17E+00,1.81E-01
5.36E+04,1.21E+00,1.78E-01
6.16E+04,1.15E+00,1.78E-01
7.05E+04,1.12E+00,1.71E-01
6.70E+04,1.08E+00,1.84E-01
6.16E+04,1.40E+00,1.46E-01
5.61E+04,1.26E+00,1.70E-01
8.11E+04,1.21E+00,1.58E-01
6.76E+04,1.18E+00,1.75E-01
6.01E+04,1.27E+00,1.66E-01
5.72E+04,1.20E+00,1.71E-01
6.00E+04,1.17E+00,1.73E-01
5.86E+04,1.21E+00,1.76E-01
5.71E+04,1.19E+00,1.81E-01
6.73E+04,1.13E+00,1.87E-01
5.47E+04,1.33E+00,1.65E-01
5.61E+04,1.26E+00,1.64E-01
6.00E+04,1.22E+00,1.68E-01
5.73E+04,1.32E+00,1.58E-01
8.24E+04,1.11E+00,1.77E-01
6.27E+04,1.18E+00,1.78E-01
5.61E+04,1.26E+00,1.68E-01
6.45E+04,1.12E+00,1.73E-01
7.22E+04,1.13E+00,1.73E-01
6.15E+04,1.15E+00,1.82E-01
5.36E+04,1.33E+00,1.52E-01
5.49E+04,1.33E+00,1.55E-01
5.48E+04,1.27E+00,1.59E-01
5.48E+04,1.27E+00,1.67E-01
6.02E+04,1.23E+00,1.72E-01
7.05E+04,1.16E+00,1.69E-01
6.88E+04,1.17E+00,1.66E-01
5.60E+04,1.17E+00,1.85E-01
5.87E+04,1.14E+00,1.79E-01
5.37E+04,1.16E+00,1.86E-01
6.71E+04,1.26E+00,1.53E-01
5.61E+04,1.32E+00,1.53E-01
6.44E+04,1.21E+00,1.60E-01
5.60E+04,1.25E+00,1.76E-01
5.42E+04,1.24E+00,1.74E-01
6.28E+04,1.18E+00,1.72E-01
7.05E+04,1.14E+00,1.78E-01
5.69E+04,1.18E+00,1.86E-01
5.47E+04,1.15E+00,1.86E-01
6.23E+04,1.15E+00,1.78E-01
6.22E+04,1.33E+00,1.51E-01
6.90E+04,1.21E+00,1.57E-01
6.15E+04,1.21E+00,1.71E-01
6.89E+04,1.17E+00,1.67E-01
5.35E+04,1.20E+00,1.86E-01
5.72E+04,1.24E+00,1.78E-01
5.24E+04,1.18E+00,1.86E-01
7.19E+04,1.15E+00,1.71E-01
6.00E+04,1.17E+00,1.82E-01
5.65E+04,1.11E+00,1.94E-01
5.61E+04,1.38E+00,1.49E-01
6.89E+04,1.23E+00,1.52E-01
5.49E+04,1.31E+00,1.63E-01
5.84E+04,1.33E+00,1.64E-01
5.62E+04,1.19E+00,1.77E-01
7.00E+04,1.16E+00,1.68E-01
6.70E+04,1.14E+00,1.75E-01
6.30E+04,1.18E+00,1.73E-01
6.58E+04,1.09E+00,1.84E-01
7.69E+04,1.07E+00,1.89E-01
6.68E+04,1.22E+00,1.67E-01
7.39E+04,1.28E+00,1.44E-01
6.13E+04,1.28E+00,1.60E-01
6.72E+04,1.21E+00,1.70E-01
5.67E+04,1.25E+00,1.68E-01
7.54E+04,1.14E+00,1.69E-01
5.35E+04,1.19E+00,1.74E-01
7.53E+04,1.13E+00,1.72E-01
6.11E+04,1.14E+00,1.75E-01
6.40E+04,1.07E+00,1.98E-01
5.33E+04,1.37E+00,1.49E-01
7.17E+04,1.22E+00,1.58E-01
5.42E+04,1.22E+00,1.74E-01
6.02E+04,1.24E+00,1.62E-01
5.87E+04,1.22E+00,1.67E-01
5.23E+04,1.19E+00,1.80E-01
6.44E+04,1.20E+00,1.75E-01
5.35E+04,1.20E+00,1.79E-01
7.34E+04,1.09E+00,1.94E-01
6.58E+04,1.11E+00,1.87E-01
6.23E+04,1.26E+00,1.63E-01
6.74E+04,1.26E+00,1.64E-01
5.74E+04,1.23E+00,1.67E-01
5.99E+04,1.21E+00,1.70E-01
5.55E+04,1.26E+00,1.65E-01
